n_tensors	497220
n_shards	96
n_classes	59
82432	language_model.model.layers.*.block_sparse_moe.experts.*.w1.weight_packed
82432	language_model.model.layers.*.block_sparse_moe.experts.*.w1.weight_scale
82432	language_model.model.layers.*.block_sparse_moe.experts.*.w2.weight_packed
82432	language_model.model.layers.*.block_sparse_moe.experts.*.w2.weight_scale
82432	language_model.model.layers.*.block_sparse_moe.experts.*.w3.weight_packed
82432	language_model.model.layers.*.block_sparse_moe.experts.*.w3.weight_scale
93	language_model.model.layers.*.input_layernorm.weight
93	language_model.model.layers.*.mlp_res_norm.weight
93	language_model.model.layers.*.mlp_res_proj.weight
93	language_model.model.layers.*.post_attention_layernorm.weight
93	language_model.model.layers.*.self_attention_res_norm.weight
93	language_model.model.layers.*.self_attention_res_proj.weight
93	language_model.model.layers.*.self_attn.g_proj.weight
93	language_model.model.layers.*.self_attn.o_proj.weight
92	language_model.model.layers.*.block_sparse_moe.gate.e_score_correction_bias
92	language_model.model.layers.*.block_sparse_moe.gate.weight
92	language_model.model.layers.*.block_sparse_moe.routed_expert_down_proj.weight
92	language_model.model.layers.*.block_sparse_moe.routed_expert_norm.weight
92	language_model.model.layers.*.block_sparse_moe.routed_expert_up_proj.weight
92	language_model.model.layers.*.block_sparse_moe.shared_experts.down_proj.weight
92	language_model.model.layers.*.block_sparse_moe.shared_experts.gate_proj.weight
92	language_model.model.layers.*.block_sparse_moe.shared_experts.up_proj.weight
69	language_model.model.layers.*.self_attn.A_log
69	language_model.model.layers.*.self_attn.b_proj.weight
69	language_model.model.layers.*.self_attn.dt_bias
69	language_model.model.layers.*.self_attn.f_a_proj.weight
69	language_model.model.layers.*.self_attn.f_b_proj.weight
69	language_model.model.layers.*.self_attn.k_conv1d.weight
69	language_model.model.layers.*.self_attn.k_proj.weight
69	language_model.model.layers.*.self_attn.o_norm.weight
69	language_model.model.layers.*.self_attn.q_conv1d.weight
69	language_model.model.layers.*.self_attn.q_proj.weight
69	language_model.model.layers.*.self_attn.v_conv1d.weight
69	language_model.model.layers.*.self_attn.v_proj.weight
27	vision_tower.encoder.blocks.*.mlp.fc0.weight
27	vision_tower.encoder.blocks.*.mlp.fc1.weight
27	vision_tower.encoder.blocks.*.norm0.weight
27	vision_tower.encoder.blocks.*.norm1.weight
27	vision_tower.encoder.blocks.*.wo.weight
27	vision_tower.encoder.blocks.*.wqkv.weight
24	language_model.model.layers.*.self_attn.kv_a_layernorm.weight
24	language_model.model.layers.*.self_attn.kv_a_proj_with_mqa.weight
24	language_model.model.layers.*.self_attn.kv_b_proj.weight
24	language_model.model.layers.*.self_attn.q_a_layernorm.weight
24	language_model.model.layers.*.self_attn.q_a_proj.weight
24	language_model.model.layers.*.self_attn.q_b_proj.weight
2	mm_projector.proj.*.weight
1	language_model.lm_head.weight
1	language_model.model.embed_tokens.weight
1	language_model.model.layers.*.mlp.down_proj.weight
1	language_model.model.layers.*.mlp.gate_proj.weight
1	language_model.model.layers.*.mlp.up_proj.weight
1	language_model.model.norm.weight
1	language_model.model.output_attn_res_norm.weight
1	language_model.model.output_attn_res_proj.weight
1	mm_projector.post_norm.weight
1	vision_tower.encoder.final_layernorm.weight
1	vision_tower.patch_embed.pos_emb.weight
1	vision_tower.patch_embed.proj.weight
